Country,URLs,Top Words
Cyprus,"['https://www.nakedcapitalism.com/2024/07/links-7-23-2024.html', 'https://www.thefp.com/p/the-great-gold-rush-of-2024', 'https://fortune.com/europe/2024/08/01/holiday-poverty-real-problem-40-million-europeans-ireland-france-italy-vacation-cost-of-living/', 'https://www.dw.com/en/will-eus-normalization-push-with-syria-help-bashar-assad/a-69773524', 'https://www.thestar.com.my/news/world/2024/08/02/roundup-indicators-show-strong-going-for-cyprus039-economy-despite-adverse-environment', 'https://www.yahoo.com/news/europe-diverging-artillery-munitions-complicate-060000361.html', 'https://www.jpost.com/opinion/article-812989', 'https://en.protothema.gr/2024/07/13/mitsotakis-we-cannot-rely-solely-on-the-americans-for-defense-greece-spends-over-2-of-gdp/', 'https://i-epikaira.blogspot.com/2024/07/if-turkey-invades-israel-it-will-be.html', 'https://www.irishtimes.com/world/europe/2024/07/21/cypriot-memories-jolted-on-50th-anniversary-of-greek-coup/']","['percent', 'gold', 'syria', 'cypriot', 'erdogan', 'vacat', 'worker', 'turkish', 'assad', 'member']"
Denmark,"['https://www.yahoo.com/news/tesla-build-colossal-power-storage-100000828.html', 'https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://www.dailysignal.com/2024/07/10/while-europeans-vacation-denmark-attacks-livestock-farmers-with-cow-tax/', 'https://www.forbes.com/sites/brittanyanas/2024/07/06/the-20-most-expensive-cities-for-expats-according-to-a-2024-study/', 'https://www.naturalnews.com/2024-07-21-denmark-carbon-tax-farmers-100-per-cow.html', 'https://www.bbc.com/news/articles/cw4yz4emgwko?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D', 'https://www.dailysignal.com/2024/07/31/japans-population-implosion-is-an-economic-time-bomb/', 'https://www.nakedcapitalism.com/2024/07/orban-shuttle-diplomacy-highlights-eu-representation-problem-but-not-in-the-way-the-pro-war-crowd-claims.html', 'https://www.project-syndicate.org/commentary/greece-six-day-week-result-of-low-birth-rates-aging-population-by-pinelopi-koujianou-goldberg-2024-07', 'https://finance.yahoo.com/news/country-most-income-equality-014445325.html']","['email', 'citi', 'wage', 'energi', 'eu', 'expens', 'bank', 'real', 'interest', 'tesla']"
Dominican Republic,"['https://www.voanews.com/a/venezuelan-opposition-says-it-has-proof-its-candidate-defeated-maduro-in-sunday-s-election/7718200.html', 'https://www.investing.com/news/press-releases/the-placencia-resort-in-belize-joins-the-hyatt-portfolio-93CH-3544374', 'https://www.investing.com/news/stock-market-news/earnings-call-aes-corporation-boasts-solid-q2-performance-and-tech-innovation-93CH-3553434', 'https://www.investing.com/news/stock-market-news/earnings-call-gerdau-outlines-strategic-initiatives-and-financials-for-q2-2024-93CH-3553328', 'https://lancasteronline.com/news/local/heres-why-a-lancaster-city-credit-union-is-a-rare-kind-of-financial-institution/article_966335d4-46fb-11ef-a3ba-6332fb40e34c.html']","['hyatt', 'union', 'credit', 'resort', 'venezuela', 'maduro', 'renew', 'commun', 'elector', 'gonzález']"
Ecuador,"['https://www.yahoo.com/news/riskiest-nations-stand-buffer-against-123000868.html', 'https://www.voanews.com/a/venezuelan-opposition-says-it-has-proof-its-candidate-defeated-maduro-in-sunday-s-election/7718200.html', 'https://removed.com', 'https://www.aol.com/news/chileans-confront-homelessness-crisis-first-051707447.html', 'https://reason.com/2024/07/10/biden-and-trump-are-both-disastrously-wrong-about-tariffs/', 'https://www.thehindubusinessline.com/opinion/india-seafood-exports-contracted-874-to-737-bn/article68390036.ece', 'https://www.thehindubusinessline.com/opinion/seafood-export-thrust/article68390036.ece', 'https://www.voanews.com/a/chileans-confront-homelessness-crisis-/7695065.html', 'https://www.usatoday.com/story/news/politics/elections/2024/07/25/kamala-harris-border-immigration/74505017007/', 'https://removed.com']","['soon', 'come', 'tariff', 'shrimp', 'chile', 'homeless', 'latino', 'border', 'advertis', 'harri']"
El Salvador,"['https://gizmodo.com/the-workers-who-feed-america-are-going-hungry-2000476140', 'https://time.com/7001208/kamala-harris-views-abortion-economy-immigration-israel-gaza/', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://www.forbes.com/sites/digital-assets/2024/07/10/project-2025-has-primed-bitcoin-for-a-16-trillion-price-showdown-with-gold/', 'https://www.forbes.com/sites/antoniopequenoiv/2024/07/25/trump-will-headline-bitcoin-2024-conference-his-latest-crypto-president-rebrand-effort/', 'https://www.abc.net.au/news/2024-07-16/donald-trump-trade-policies-risk-fresh-inflation-breakout/104099454', 'https://www.theatlantic.com/podcasts/archive/2024/07/biden-steps-aside-how-might-harris-step-up/679185/?utm_source=feed', 'https://www.cbc.ca/news/gop-convention-dystopia-2024-1.7267374', 'https://biztoc.com/x/f45b591a64f19e65', 'https://removed.com']","['soon', 'bitcoin', 'harri', 'farmwork', 'come', 'gold', 'nyt', 'food', 'tariff', 'think']"
France,"['https://www.businessinsider.com/us-deal-frees-russian-prisoner-wrote-anti-war-messages-supermarket-2024-8', 'https://www.businessinsider.com/paris-olympics-costs-tickets-stadiums-2024-7', 'https://time.com/6996571/paris-2024-olympics-cost/', 'https://qz.com/mcdonalds-q2-2024-earnings-consumers-retail-inflation-1851607430', 'https://qz.com/national-french-fry-day-deal-mcdonalds-wendys-retail-1851588693', 'https://www.washingtonpost.com/world/2024/07/19/bangladesh-demonstrations-police-hasina/', 'https://www.bbc.com/news/articles/cy7970gz3qro', 'https://www.aljazeera.com/news/2024/7/4/uk-general-election-2024-key-issues-by-the-numbers', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://www.forbes.com/sites/rachelking/2024/07/11/consumers-opting-for-cheaper-drinks-amid-inflation-woes-and-health-concerns/']","['fri', 'drink', 'olymp', 'hasina', 'skochilenko', 'mcdonald', 'percent', 'leader', 'risk', 'consum']"
Gabon,"['https://punchng.com/report-links-slow-office-rental-growth-to-oversupply/', 'https://mondoweiss.net/2024/08/african-attitudes-to-and-solidarity-with-palestine-from-the-1940s-to-israels-genocide-in-gaza/', 'https://www.investing.com/news/stock-market-news/earnings-call-airtel-africa-reported-revenues-of-116-billion-93CH-3539847', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306770']","['hiv', 'israel', 'offic', 'african', 'real', 'custom', 'test', 'uptak', 'isra', 'estat']"
Germany,"['https://www.businessinsider.com/us-deal-frees-russian-prisoner-wrote-anti-war-messages-supermarket-2024-8', 'https://www.forbes.com/sites/rachelking/2024/07/11/consumers-opting-for-cheaper-drinks-amid-inflation-woes-and-health-concerns/', 'https://www.aljazeera.com/news/2024/7/4/uk-general-election-2024-key-issues-by-the-numbers', 'https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://www.techspot.com/news/104052-tsmc-soon-start-building-new-chip-manufacturing-plant.html', 'https://finance.yahoo.com/news/mlp-two-more-german-dividend-030642360.html', 'https://finance.yahoo.com/news/german-insolvencies-higher-expected-h1-075038098.html', 'https://finance.yahoo.com/news/july-2024-insight-german-exchanges-030349841.html', 'https://www.yahoo.com/news/france-muted-price-pickup-offers-073115363.html', 'https://finance.yahoo.com/news/europes-growth-lags-u-again-091120714.html']","['wage', 'dividend', 'drink', 'skochilenko', 'insolv', 'tsmc', 'quarter', 'uk', 'percent', 'plant']"
Ghana,"['https://www.yahoo.com/news/ghana-sees-growth-matching-imf-161024931.html', 'https://finance.yahoo.com/news/african-economies-seen-delaying-joining-040000386.html', 'https://www.mckinsey.com/capabilities/sustainability/our-insights/nature-stress-test-assessing-exposure-of-five-african-banking-systems', 'https://www.bbc.com/news/articles/ce93n7lgw5qo', 'https://fortune.com/2024/08/02/fed-chair-jerome-powell-inflation-rollercoaster-money-supply-absent-economy-finance-politics/', 'https://www.globalresearch.ca/youth-demonstrations-kenya-african-states/5863819', 'https://www.aljazeera.com/features/2024/8/2/nigerians-are-tired-protesters-fed-up-with-bad-governance-soaring-costs', 'https://punchng.com/court-bars-ghanaian-youths-from-protesting-economic-hardship-lgbtq-bill/', 'https://www.investing.com/news/economic-indicators/ghanas-budget-deficit-at-34-of-gdp-in-first-half-of-2024-finance-minister-says-3531433', 'https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307071']","['imf', 'protest', 'money', 'natur', 'ssa', 'rate', 'risk', 'scenario', 'inflat', 'loss']"
Greece,"['https://www.businessinsider.com/inflation-economy-deflation-unemployment-job-market-recession-outlook-paul-krugman-2024-7', 'https://removed.com', 'https://www.project-syndicate.org/commentary/greece-six-day-week-result-of-low-birth-rates-aging-population-by-pinelopi-koujianou-goldberg-2024-07', 'https://www.forbes.com/sites/alexledsom/2024/07/26/overcrowded-europe-barcelona-santorini-and-brittany-limit-daytrippers/', 'https://www.aljazeera.com/news/2024/7/7/why-are-kenyans-angry-with-the-imf', 'https://www.forbes.com/sites/josipamajic/2024/07/22/the-paradox-of-plenty-how-abundance-technology-and-health-consciousness-are-reshaping-american-consumer-behavior-in-2024/', 'https://fortune.com/europe/2024/07/22/turkish-restaurants-sit-half-empty-as-tourists-flock-to-neighboring-greece-91-percent-inflation-poor-tourism/', 'https://www.ecb.europa.eu/press/pr/date/2024/html/ecb.pr240726~2da9ec7bdf.en.html', 'https://www.yahoo.com/news/ecb-slow-rate-cuts-elections-040000482.html', 'https://finance.yahoo.com/news/ecb-slow-rate-cuts-elections-040000465.html']","['soon', 'email', 'consum', 'imf', 'come', '12', 'trend', 'price', 'expect', 'ruto']"
Honduras,"['https://time.com/7001208/kamala-harris-views-abortion-economy-immigration-israel-gaza/', 'https://removed.com', 'https://www.voanews.com/a/venezuelan-opposition-says-it-has-proof-its-candidate-defeated-maduro-in-sunday-s-election/7718200.html', 'https://www.yahoo.com/news/republicans-frame-kamala-harris-failed-100049640.html', 'https://dianeravitch.net/2024/07/19/washington-post-fact-checks-trumps-acceptance-speech/', 'https://www.factcheck.org/2024/07/night-3-of-the-republican-national-convention/', 'https://www.usatoday.com/story/news/politics/elections/2024/07/25/kamala-harris-border-immigration/74505017007/', 'https://www.nbcnews.com/politics/2024-election/trump-world-preparing-run-kamala-harris-weeks-rcna162929', 'https://www.washingtonpost.com/politics/2024/07/19/fact-check-trump-rnc-republican-convention/', 'https://www.bostonherald.com/2024/07/18/fact-checking-day-3-of-the-republican-national-convention/']","['soon', 'percent', 'harri', 'latino', 'trump', 'come', 'biden', 'gonzález', 'maduro', 'democrat']"
Iceland,"['https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://www.forbes.com/sites/kellyphillipserb/2024/07/26/us-olympic-athletes-are-going-for-the-gold-in-paris-and-it-could-be-tax-free/', 'https://www.investing.com/news/stock-market-news/uk-grocery-inflation-falls-to-16-says-kantar-3520152', 'https://www.globenewswire.com/news-release/2024/07/11/2911591/0/en/Alvotech-Announces-Closing-of-Private-Debt-Financing.html', 'https://www.globenewswire.com/news-release/2024/07/25/2918810/0/en/New-Cloud-Based-App-By-KK-Miner-Offers-Mining-of-Cryptocurrencies-Like-Bitcoin-and-Litecoin.html', 'https://www.globenewswire.com/news-release/2024/07/24/2917921/0/en/Direct-Air-Carbon-Capture-Technology-Market-Size-to-be-Worth-USD-2046-3-Million-by-2034-at-40-4-CAGR-Prophecy-Market-Insights.html', 'https://www.globenewswire.com/news-release/2024/07/10/2911445/0/en/Costco-Wholesale-Corporation-Reports-June-Sales-Results-and-Announces-Quarterly-Cash-Dividend-and-Plans-for-Membership-Fee-Increase.html', 'https://www.globenewswire.com/news-release/2024/07/22/2916396/0/en/STADA-and-Alvotech-launch-Uzpruvo-the-first-approved-ustekinumab-biosimilar-to-Stelara-across-Europe.html', 'https://www.globenewswire.com/news-release/2024/07/22/2916405/0/en/STADA-and-Alvotech-launch-Uzpruvo-the-first-approved-ustekinumab-biosimilar-to-Stelara-across-Europe.html', 'https://www.investing.com/news/press-releases/alvotech-announces-closing-of-private-debt-financing-93CH-3515019']","['alvotech', 'kk', 'olymp', 'medal', 'miner', 'technolog', 'carbon', 'captur', 'insight', 'mine']"
India,"['https://www.businessinsider.com/what-is-universal-basic-income-ubi-meaning-history-benefits-criticism-2024-7', 'https://www.bbc.com/news/articles/c2501n5rvvno', 'https://www.aljazeera.com/economy/2024/7/23/anant-ambanis-glitzy-wedding-highlights-indias-missing-middle-class', 'https://m.economictimes.com/mf/analysis/investors-poured-rs-700-crore-in-gold-etfs-in-june-is-it-a-good-investment/articleshow/111654392.cms', 'https://www.mckinsey.com/industries/consumer-packaged-goods/our-insights/think-you-know-what-consumers-want-think-again', 'https://www.forbes.com/sites/seanhanlon-1/2024/07/05/2024-mid-year-update/', 'https://www.aljazeera.com/program/inside-story/2024/7/21/whats-behind-the-recurring-unrest-in-bangladesh', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://www.businessinsider.com/gen-z-living-at-home-relying-on-parents-safety-net-2024-7', 'https://www.forbes.com/sites/rachelking/2024/07/11/consumers-opting-for-cheaper-drinks-amid-inflation-woes-and-health-concerns/']","['drink', 'parent', 'harri', 'prime', 'middl', 'consum', 'ms', 'fed', 'et', 'rate']"
Indonesia,"['https://www.forbes.com/sites/timtreadgold/2024/07/29/indonesia-has-a-china-problem-in-its-nickel-industry/', 'https://www.mining-technology.com/news/indonesia-chinese-stake-nickel/', 'https://www.forbes.com/sites/johnbremen/2024/07/09/tracking-2024-mid-year-geopolitical-labor-inflation-ai--esg-trends/', 'https://finance.yahoo.com/news/stocks-rally-fed-cut-hopes-224030783.html', 'https://time.com/7000278/penang-chow-kon-yeow-interview/', 'https://finance.yahoo.com/news/5-travel-destinations-still-cheap-160258331.html', 'https://finance.yahoo.com/news/geopolitics-overtakes-inflation-top-sovereign-230358703.html', 'https://www.aljazeera.com/news/2024/7/22/as-philippiness-marcos-addresses-nation-economy-duterte-rift-loom-large', 'https://www.channelnewsasia.com/business/indonesia-central-bank-holds-interest-rates-steady-expected-4485396', 'https://finance.yahoo.com/news/charting-global-economy-uk-services-090000132.html']","['nickel', 'marco', 'jr', 'bi', 'penang', 'mine', 'cut', 'travel', 'summer', 'rupiah']"
Ireland,"['https://www.bbc.com/news/articles/cek95vgnm79o', 'https://www.eurogamer.net/us-video-game-performers-are-striking-over-ongoing-ai-concerns', 'https://removed.com', 'https://removed.com', 'https://finance.yahoo.com/news/5-travel-destinations-still-cheap-160258331.html', 'https://www.bbc.com/news/articles/cek95vgnm79o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D', 'https://www.bbc.com/news/articles/cn08yw474q6o', 'https://www.aol.com/news/europes-central-bank-hits-pause-072432087.html', 'https://removed.com', 'https://www.bbc.com/news/articles/cmm26e1qpzgo']","['soon', 'water', 'come', 'rate', 'wage', 'advertis', 'live', 'summer', 'travel', 'ai']"
Italy,"['https://www.businessinsider.com/financial-therapist-helped-me-budget-for-month-wedding-cost-2024-7', 'https://www.npr.org/2024/07/09/nx-s1-5033685/baby-bonus-baltimore-1-000-payment-reduce-childhood-poverty', 'https://www.npr.org/2024/07/31/g-s1-14563/up-first-newsletter-hamas-ismail-haniyeh-israel-iran-simone-biles-olympics', 'https://www.forbes.com/sites/greatspeculations/2024/07/15/bidens-election-troubles-and-the-market-implications/', 'https://www.forbes.com/sites/rachelking/2024/07/11/consumers-opting-for-cheaper-drinks-amid-inflation-woes-and-health-concerns/', 'https://www.aljazeera.com/news/2024/7/4/uk-general-election-2024-key-issues-by-the-numbers', 'https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://finance.yahoo.com/news/wealthiest-person-italy-231023296.html', 'https://qz.com/anant-ambani-multi-million-dollar-wedding-1851585950', 'https://www.theatlantic.com/ideas/archive/2024/07/donald-trump-democracy-dictator/679006/?utm_source=feed']","['drink', 'wage', 'wed', 'trump', 'percent', 'clayman', 'baltimor', 'uk', 'consum', 'save']"
Japan,"['https://gizmodo.com/costco-raising-membership-fees-for-first-time-since-2017-2000469465', 'https://time.com/7005151/stop-economic-doomsaying-essay/', 'https://hypebeast.com/2024/7/armani-revenue-increases-financial-report', 'https://economictimes.indiatimes.com/markets/stocks/news/asian-stocks-echo-us-rally-ahead-of-inflation-data-markets-wrap/articleshow/111647314.cms', 'https://www.forbes.com/sites/katharinabuchholz/2024/08/02/half-of-oecd-countries-earn-less-now-than-pre-pandemic-infographic/', 'https://biztoc.com/x/ca270e5966b7936a', 'https://time.com/7001208/kamala-harris-views-abortion-economy-immigration-israel-gaza/', 'https://www.yahoo.com/news/not-prepared-congressional-panel-calls-123701505.html', 'https://finance.yahoo.com/news/asian-stocks-set-track-wall-223505627.html', 'https://www.forbes.com/sites/seanhanlon-1/2024/07/05/2024-mid-year-update/']","['harri', 'wage', 'membership', 'economist', 'defens', 'rate', 'prime', 'armani', 'olymp', 'costco']"
