"Rescue ID","Name","Birthdate","Sex","Primary Breed","Color (General)","Status","Created","Euthanasia Date","Adopted Date"
"F08-085","Cuddles","4/1/2008","Female","Domestic Short Hair","Brown Tabby","Euthanized","9/16/2021 11:39 PM","10/12/2021","10/16/2008"
"F08-116","Banana","3/1/2008","Female","Domestic Short Hair","Tortoiseshell","Adopted","8/12/2014 10:51 AM","",""
"F08-120","Chai","4/27/2008","Male","Domestic Short Hair","Cream (Mostly)","Adopted","2/1/2010 4:07 PM","",""
"F08-140","Frank T","10/10/2008","Male","Domestic Short Hair","Orange (Mostly)","Adopted","4/24/2017 7:49 PM","","11/20/2018"
"F08-153","Chase","7/1/2006","Male","Siamese","Gray","Adopted","11/7/2017 9:48 PM","","12/31/2018"
"F08-242","Capri","4/25/2008","Female","Domestic Medium Hair","Tortoiseshell","Transferred","7/7/2013 2:58 PM","",""
"F08-245","Squirrel","7/1/2007","Female","Domestic Short Hair","Brown Tabby","Adopted","1/10/2018 11:14 AM","","4/12/2018"
"F08-267","Gypsy","","Female","Tortoiseshell","Tortoiseshell","Adopted","5/16/2013 6:28 PM","",""
"F08-313","BeeBee","9/1/2007","Female","Domestic Short Hair","Black and White","Adopted","12/19/2014 9:14 AM","","12/6/2015"
"F08-315","Lenox","7/1/2008","Male","Domestic Short Hair","Brown Tabby","Adopted","12/14/2009 11:43 AM","","3/28/2014"
"F08-334","Panache","10/1/2007","Female","Domestic Short Hair","Tortoiseshell","Adopted","12/14/2009 11:45 AM","","7/18/2013"
"F08-340","Teddy K","4/1/2008","Male","Norwegian Forest Cat","Black and White","Adopted","1/4/2010 3:53 PM","","11/11/2019"
"F08-374","Macchiato","10/1/2008","Male","Domestic Short Hair","Black","Adopted","12/14/2009 11:44 AM","","3/28/2014"
"F08-401","Arabica","10/1/2008","Female","Domestic Short Hair","Black","Adopted","12/14/2009 11:35 AM","","3/28/2014"
"F08-407","Boston","7/1/2008","Male","Domestic Short Hair","Black","Adopted","12/14/2009 11:36 AM","","3/28/2014"
"F08-409","Forrest K","10/8/2008","Male","Domestic Short Hair","Black","Adopted","12/14/2009 11:40 AM","","11/11/2019"
"F08-417","Leif K","10/8/2008","Male","Norwegian Forest Cat","Tuxedo","Adopted","12/14/2009 11:43 AM","","11/11/2019"
"F08-430","Sable K","10/8/2008","Female","Norwegian Forest Cat","Black","Adopted","3/25/2014 11:08 AM","","11/11/2019"
"F08-436","Sumatra","10/1/2007","Female","Domestic Short Hair","Black","Adopted","1/4/2010 4:20 PM","","3/28/2014"
"F08-449","Pepsi Mack","4/1/2008","Male","Maine Coon","Brown Tabby","Adopted","4/11/2016 8:00 PM","","8/1/2016"
"F09-002","Willow Mitten","4/15/2008","Female","Domestic Short Hair","Tortoiseshell","Adopted","12/18/2009 4:08 PM","","1/31/2015"
"F09-031","Fiji","10/1/2008","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","12/14/2009 11:40 AM","","3/28/2014"
"F09-038","Missy Ruffle","","Female","Domestic Short Hair","Tortoiseshell","Adopted","12/14/2009 11:44 AM","",""
"F09-050","TC","11/1/2008","Male","Domestic Short Hair","Black","Euthanized","1/4/2010 4:00 PM","",""
"F09-095","Dora C","4/9/2006","Female","Maine Coon","Gray  Blue or Silver Tabby","Adopted","8/11/2014 4:38 PM","","3/1/2015"
"F09-105","Minnie","4/15/2009","Female","Domestic Short Hair","Brown Tabby","Adopted","2/23/2015 8:58 AM","","11/22/2015"
"F09-194","Penelope C","4/23/2009","Female","Domestic Short Hair","Gray and White","Adopted","2/10/2016 12:56 PM","","5/4/2016"
"F09-208","Galeata","","Female","Domestic Medium Hair","Tuxedo","Adopted","12/14/2009 11:40 AM","",""
"F09-212","Amaltheia","4/3/2009","Female","Domestic Short Hair","Gray","Adopted","12/14/2009 11:34 AM","",""
"F09-213","Notus","4/3/2009","Male","Domestic Short Hair","Gray and White","Passed Away","12/14/2009 11:45 AM","",""
"F09-214","Snow Bear II","","Male","Domestic Medium Hair","White","Adopted","12/14/2009 11:47 AM","",""
"F09-221","Sabrina Truffles","","Female","Domestic Short Hair","Black","Adopted","12/14/2009 11:46 AM","",""
"F09-239","Puffy","","Male","Domestic Short Hair","Gray (Mostly)","Adopted","12/14/2009 11:46 AM","",""
"F09-240","Zod","","Male","Abyssinian","Brown","Adopted","4/16/2012 7:08 PM","",""
"F09-240","White Tips","4/15/2009","Male","Domestic Medium Hair","Gray and White","Passed Away","12/21/2009 7:32 PM","",""
"F09-244","Isa P","","Female","Domestic Medium Hair","Tuxedo","Adopted","12/14/2009 11:42 AM","",""
"F09-250","Runty","5/12/2009","Female","Domestic Medium Hair","","Adopted","8/4/2014 1:12 PM","","11/9/2014"
"F09-264","Cherokee Bear","5/2/2009","Male","Domestic Short Hair","Brown Tabby","Adopted","12/14/2009 11:37 AM","","12/22/2015"
"F09-306","Tootsie Girl","","Female","Domestic Long Hair","Gray and White","Adopted","12/21/2009 8:05 PM","",""
"F09-319","Chiclet (fka Brynna)","4/6/2009","Female","Domestic Short Hair","Black and White","Pending","2/16/2021 12:25 PM","","3/27/2021"
"F09-337","Willow P","5/15/2009","Female","Domestic Medium Hair","Black","Euthanized","12/14/2009 11:48 AM","",""
"F09-347","Sprinkles","5/19/2009","Male","Domestic Short Hair","Brown Tabby","Adopted","3/30/2014 10:45 AM","","9/30/2014"
"F09-418","Butterscotch","8/1/2007","Male","Domestic Short Hair","Orange","Passed Away","1/4/2010 8:49 PM","",""
"F09-427","Meerkat","","Male","Domestic Short Hair","White (Mostly)","Adopted","12/14/2009 11:44 AM","",""
"F09-432","Tinsel","7/1/2009","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","12/14/2009 11:48 AM","","3/28/2014"
"F09-444","Pumpkin II","","Female","Domestic Medium Hair","Orange","Adopted","12/14/2009 11:46 AM","",""
"F09-476","Poppet","7/29/2009","Male","Maine Coon","Orange and White","Adopted","9/17/2013 3:53 PM","","8/23/2015"
"F09-489","Flip Flop","","Male","Domestic Medium Hair","Tuxedo","Adopted","12/14/2009 11:40 AM","",""
"F09-499","Snowman","","Male","Domestic Medium Hair","White","Adopted","12/14/2009 11:47 AM","",""
"F09-500","Mike","8/1/2009","Male","Domestic Short Hair","Black","Adopted","5/19/2018 10:15 PM","",""
"F09-502","Starlight","8/1/2009","Female","Domestic Short Hair","Black","Adopted","5/19/2018 10:14 PM","",""
"F09-507","Croissant","","Male","Domestic Short Hair","Black","Adopted","12/14/2009 11:38 AM","",""
"F09-522","Ashby","9/9/2009","Male","Domestic Long Hair","Black","Adopted","12/14/2009 11:35 AM","","6/5/2015"
"F09-525","Ashton","9/9/2009","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","12/14/2009 11:35 AM","","6/8/2015"
"F09-533","Smokey Queen","5/1/2009","Female","Domestic Short Hair","Tortoiseshell","Adopted","12/14/2009 11:47 AM","","5/20/2015"
"F09-534","Callie H","11/1/2007","Female","Domestic Short Hair","Tortoiseshell","Adopted","12/14/2009 11:37 AM","",""
"F09-536","Pinky H","","Female","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","12/14/2009 11:46 AM","",""
"F09-539","Hershey H","9/9/2009","Male","Domestic Short Hair","Gray and White","Adopted","1/28/2011 12:07 PM","","12/29/2015"
"F09-562","Onyx Dreams","4/15/2007","Male","Domestic Short Hair","Black and White","Adopted","2/1/2010 4:18 PM","",""
"F09-566","Barbossa","9/1/2009","Male","Domestic Short Hair","Orange and White","Adopted","6/28/2015 1:02 PM","","5/19/2016"
"F09-592","Gatlin","12/9/2008","Male","Domestic Short Hair","Orange and White","Adopted","1/4/2010 8:28 PM","","8/31/2016"
"F09-599","Satriani","10/4/2009","Male","Domestic Medium Hair","Black","Adopted","1/5/2010 5:24 PM","","6/14/2014"
"F09-600","Skynyrd","10/4/2009","Male","Domestic Short Hair","Black","Adopted","6/28/2015 1:04 PM","","5/4/2016"
"F10-008","Blue H","9/30/2009","Male","Russian Blue","Blue","Adopted","1/11/2010 10:19 AM","","10/3/2014"
"F10-012","Juanita","","Female","Domestic Short Hair","Brown Tabby","Adopted","1/25/2010 2:16 PM","",""
"F10-029","Sabrina B","8/1/2008","Female","Domestic Short Hair","Black","Adopted","2/23/2010 5:22 PM","","7/18/2013"
"F10-032","Ruki B","8/1/2008","Male","Domestic Short Hair","Orange and White","Adopted","2/23/2010 5:20 PM","","7/18/2013"
"F10-055","Trixie L","3/1/2003","Female","Domestic Short Hair","Black","Euthanized","3/17/2010 6:16 PM","",""
"F10-060","Sven","5/20/2008","Male","Domestic Short Hair","Cream","Adopted","3/17/2010 6:12 PM","","12/11/2016"
"F10-084","Maui II","4/15/2008","Male","Siamese","Fawn Tabby","Passed Away","4/20/2010 1:44 PM","",""
"F10-09","Fruit Loop","","Female","Domestic Long Hair","Black and White","Adopted","1/11/2010 10:24 AM","",""
"F10-095","Emma (fka Abe)","3/15/2010","Female","Domestic Short Hair","Black and White","Adopted","5/4/2010 7:39 PM","","2/4/2014"
"F10-096","Loca","3/15/2010","Female","Domestic Short Hair","Black and White","Adopted","5/11/2010 7:03 PM","","4/26/2014"
"F10-10","Lucky Charms","","Female","Domestic Short Hair","Brown (Mostly)","Adopted","1/11/2010 10:31 AM","",""
"F10-134","Nala II","","Female","Domestic Short Hair","Black and White","Adopted","5/27/2010 11:37 AM","",""
"F10-150","Pearl C","4/15/2010","Female","Domestic Short Hair","Brown Tabby","Euthanized","7/11/2017 3:42 PM","11/10/2018","7/21/2017"
"F10-165","Crowley","4/17/2010","Male","Domestic Short Hair","Orange and White","Adopted","6/19/2015 7:11 PM","","7/31/2018"
"F10-167","Birdie","4/12/2010","Male","Domestic Short Hair","Black and White","Adopted","6/8/2010 12:07 PM","",""
"F10-18","Mary Russell","","Female","Domestic Medium Hair","Gray","Adopted","2/1/2010 4:13 PM","",""
"F10-198","Safari","","Male","Domestic Short Hair","Brown Tabby","Adopted","7/1/2010 6:13 PM","",""
"F10-248","Jo","4/9/2010","Female","Domestic Medium Hair","Orange and White","Adopted","7/15/2010 6:59 PM","","2/8/2011"
"F10-253","Simba B","5/5/2010","Male","Domestic Short Hair","Brown","Adopted","7/29/2010 6:53 PM","","3/28/2014"
"F10-254","Bailee","5/5/2010","Female","Domestic Short Hair","Gray","Adopted","7/29/2010 5:18 PM","","3/28/2014"
"F10-255","Jule","5/5/2010","Female","Domestic Short Hair","Black and White","Adopted","7/29/2010 5:51 PM","","3/28/2014"
"F10-30","Teddy B","4/1/2009","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","2/23/2010 5:27 PM","","7/18/2013"
"F10-316","Lily L","8/3/2010","Female","Norwegian Forest Cat","Brown (Mostly)","Adopted","9/20/2010 9:59 PM","","2/26/2014"
"F10-331","Ethel II","7/4/2010","Female","Domestic Medium Hair","Black","Adopted","10/21/2010 5:45 PM","","2/14/2016"
"F10-338","Annie R","7/4/2010","Female","Domestic Short Hair","Orange and White","Adopted","10/21/2010 5:28 PM","","5/10/2015"
"F10-339","Sammy Davis","7/4/2010","Male","Domestic Short Hair","Black and White","Adopted","10/21/2010 5:59 PM","","11/11/2019"
"F10-342","Pushkin","","Male","Domestic Long Hair","Cream","Adopted","10/21/2010 7:07 PM","",""
"F10-346","Tootsie Girl","","Female","Domestic Short Hair","","Adopted","11/1/2010 2:44 PM","",""
"F10-355","Eagle","4/12/2010","Male","Domestic Short Hair","Gray","Adopted","11/1/2010 2:22 PM","",""
"F10-356","Delorean","11/1/2006","Male","Turkish Van","Black and White","Adopted","11/4/2010 6:13 PM","",""
"F10-362","Bobby Pearce","9/13/2010","Male","Domestic Short Hair","Brown Tabby","Adopted","11/15/2010 5:34 PM","",""
"F10-366","Punkin B","","Female","Domestic Short Hair","Brown Tabby","Adopted","11/19/2010 6:18 PM","",""
"F10-369","Lucy K","","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","11/19/2010 6:06 PM","",""
"F10-372","Reebok","8/30/2010","Male","Domestic Short Hair","Brown (Mostly)","Euthanized","12/3/2010 11:09 AM","",""
"F10-373","Puma","","Male","Domestic Short Hair","Brown","Adopted","12/3/2010 11:02 AM","",""
"F10-383","Goulet","12/1/2008","Male","Domestic Short Hair","Black and White","Euthanized","12/11/2010 3:16 PM","","10/13/2019"
"F10-394","Lily A","","Female","Domestic Short Hair","Orange","Adopted","12/27/2010 4:16 PM","",""
"F10-395","Miso","11/28/2010","Female","Domestic Short Hair","Orange","Adopted","12/30/2010 4:05 PM","","10/20/2015"
"F10-84","Collette","","Female","Domestic Short Hair","Black","Adopted","4/30/2010 6:30 PM","",""
"F10-91","Winkie","","Female","Domestic Short Hair","Black","Adopted","5/4/2010 8:06 PM","",""
"F11-012","Shoofly","10/15/2010","Male","Bombay","Black","Adopted","2/14/2011 12:53 PM","","8/31/2014"
"F11-013","Fruitfly","10/15/2010","Female","Bombay","Black (Mostly)","Adopted","2/14/2011 12:37 PM","","8/31/2014"
"F11-016","Aliza II","9/1/2010","Female","Domestic Short Hair","Blue (Mostly)","Adopted","2/21/2011 1:49 PM","",""
"F11-028","Futoshi","11/15/2010","Male","Domestic Short Hair","Gray and White","Adopted","4/26/2011 11:57 AM","","1/31/2015"
"F11-029","Nao","11/15/2010","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","4/26/2011 11:59 AM","","1/31/2015"
"F11-035","Augustus","","Male","Maine Coon","Brown Tabby","Adopted","3/31/2011 5:23 PM","","1/25/2014"
"F11-041","Tuxie Amigo","9/1/2010","Male","Domestic Short Hair","Black and White","Adopted","4/10/2011 6:07 PM","","3/1/2014"
"F11-046","Drake","4/1/2009","Male","Domestic Short Hair","Orange","Adopted","4/10/2011 5:32 PM","",""
"F11-050","Temple","4/1/2010","Female","Bombay","Black","Adopted","4/26/2011 12:02 PM","","9/1/2014"
"F11-055","Grail","11/1/2010","Female","Siamese","Cream","Adopted","3/25/2014 11:19 AM","","6/28/2014"
"F11-075","Horatio","6/1/2006","Male","Siamese","Cream (Mostly)","Adopted","5/23/2011 4:11 PM","","6/13/2014"
"F11-077","Lizi K","11/12/2010","Female","Norwegian Forest Cat","Calico or Dilute Calico","Adopted","1/9/2013 12:56 PM","","11/11/2019"
"F11-078","Andy K","11/12/2010","Male","Norwegian Forest Cat","Orange and White","Adopted","5/23/2011 3:35 PM","","12/22/2014"
"F11-112","Brach","4/15/2011","Male","Domestic Medium Hair","Black and White","Adopted","7/4/2011 6:25 PM","","9/1/2014"
"F11-162","Ollie K","4/9/2011","Male","Domestic Short Hair","Orange","Adopted","8/14/2011 6:51 PM","","11/11/2019"
"F11-163","Joey K","4/20/2011","Male","Domestic Short Hair","Orange","Adopted","8/14/2011 6:44 PM","","7/26/2014"
"F11-167","Sephora","8/1/2010","Female","Domestic Short Hair","","Adopted","3/7/2014 10:19 AM","","3/28/2014"
"F11-173","Mr. Purr Box","","Male","Domestic Short Hair","Brown Tabby","Adopted","9/7/2011 12:27 PM","",""
"F11-175","Patience","1/1/2011","Female","Domestic Short Hair","Calico or Dilute Calico","Euthanized","8/14/2014 10:45 AM","12/21/2019","9/14/2014"
"F11-178","Deenie","6/15/2011","Female","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","9/7/2011 12:09 PM","","9/27/2014"
"F11-179","Wolfie","6/15/2011","Male","Domestic Short Hair","Orange and White","Adopted","9/7/2011 12:45 PM","","12/28/2014"
"F11-217","Chalupa","12/1/2009","Male","Domestic Medium Hair","Cream","Adopted","12/8/2011 9:47 PM","",""
"F12-016","Emory II","1/1/2010","Male","Domestic Short Hair","Black (Mostly)","Adopted","2/9/2012 6:28 PM","","4/6/2018"
"F12-018","Mikael","1/21/2011","Male","Domestic Short Hair","Black","Adopted","1/29/2013 4:10 PM","","11/22/2015"
"F12-060","Sparrow","11/25/2011","Female","Domestic Short Hair","Black and White","Adopted","4/16/2012 7:06 PM","","10/2/2014"
"F12-061","Sneakers","4/5/2011","Male","Domestic Short Hair","Black","Adopted","4/16/2012 7:02 PM","","6/5/2015"
"F12-067","Adell","4/1/2010","Female","Domestic Short Hair","Black and White","Adopted","9/6/2018 1:32 PM","","9/30/2018"
"F12-076","Alexis","4/22/2007","Female","Maine Coon","Gray (Mostly)","Adopted","4/26/2012 2:50 PM","","12/16/2014"
"F12-077","Atlas","7/19/2003","Male","Domestic Short Hair","Brown Tabby","Euthanized","4/26/2012 2:53 PM","3/9/2014",""
"F12-093","Tabby Brown","","Male","Domestic Short Hair","","Adopted","5/14/2012 9:41 PM","",""
"F12-094","Tabino (fka Tabby Grey)","1/1/2011","Male","Domestic Short Hair","Gray  Blue or Silver Tabby","Adopted","5/14/2012 9:42 PM","","3/25/2015"
"F12-103","Duck","2/1/2012","Female","Domestic Short Hair","Brown Tabby","Adopted","5/14/2012 8:57 PM","","3/22/2014"
"F12-104","Beauty II (Luna)","10/30/2011","Female","Siamese","","Adopted","10/7/2020 1:50 PM","","1/25/2021"
"F12-115","Santee","4/10/2012","Female","Domestic Short Hair","Brown Tabby","Adopted","5/24/2012 1:08 PM","","1/5/2016"
"F12-120","Berlioz II","11/1/2011","Male","Domestic Short Hair","Gray and White","Adopted","5/24/2012 12:37 PM","","8/9/2015"
"F12-121","Husqvarna","11/1/2011","Male","Domestic Short Hair","Gray and White","Adopted","5/24/2012 12:44 PM","","8/9/2015"
"F12-137","Valerie aka Varget","4/8/2012","Female","Domestic Short Hair","Black and White","Adopted","7/1/2012 3:35 PM","","3/10/2016"
"F12-145","Bob T. Tailess","6/1/2009","Male","Maine Coon","Brown Tabby","Adopted","7/31/2014 3:34 PM","","5/20/2016"
"F12-147","Brier","12/1/2011","Female","Domestic Short Hair","Brown Tabby","Adopted","6/28/2012 5:28 PM","",""
"F12-157","Finnegan C","","Male","Maine Coon","Black and White","Adopted","6/10/2013 11:57 AM","",""
"F12-189","Arlington W","3/1/2012","Female","Domestic Short Hair","White","Adopted","7/17/2012 4:29 PM","","12/22/2015"
"F12-196","Skylar","5/17/2012","Male","Domestic Short Hair","Black and White","Adopted","7/26/2012 12:59 PM","","11/16/2019"
"F12-199","Sanders","1/1/2012","Male","Oriental Short Hair","Black (Mostly)","Euthanized","7/26/2012 12:56 PM","",""
"F12-211","Alex Trebek","","Male","Domestic Short Hair","Black and White","Adopted","7/26/2012 12:25 PM","",""
"F12-214","Ziggy II","5/1/2012","Male","Domestic Short Hair","Orange","Adopted","10/20/2018 9:46 PM","","1/20/2019"
"F12-215","Clause","5/1/2012","Male","Domestic Short Hair","Orange","Adopted","10/20/2018 9:47 PM","","1/20/2019"
"F12-218","Ollie aka Oline","4/8/2012","Male","Domestic Short Hair","Black and White","Euthanized","8/6/2012 6:08 PM","9/4/2019",""
"F12-219","Aliant","4/8/2012","Female","Domestic Short Hair","Black and White","Euthanized","8/6/2012 5:27 PM","10/13/2019",""
"F12-224","Nile","4/15/2012","Male","Domestic Short Hair","Black","Adopted","8/6/2012 6:06 PM","","10/9/2014"
"F12-227","Smokie Feral","8/1/2011","Male","Domestic Short Hair","Gray","Not Available","8/6/2012 6:15 PM","",""
"F12-228","Gene Simmons","8/1/2011","Male","Siamese","Cream (Mostly)","Adopted","8/6/2012 5:57 PM","","6/28/2014"
"F12-230","Marlena","8/1/2011","Female","Maine Coon","Black","Adopted","8/6/2012 6:03 PM","","10/31/2014"
"F12-255","Ashton Kutcher","","Male","Bengal","Orange","Adopted","10/4/2012 6:44 PM","",""
"F12-258","Gabriel L","7/13/2012","Male","Domestic Short Hair","Brown (Mostly)","Adopted","10/8/2012 5:59 PM","","7/18/2013"
"F12-259","Isabella L","7/13/2012","Female","Domestic Short Hair","Gray and White","Adopted","12/10/2012 12:44 PM","","7/18/2013"
"F12-260","Chandler L","5/1/2012","Male","Domestic Short Hair","Black","Adopted","10/4/2012 7:51 PM","","7/18/2013"
"F12-261","Leah L","7/12/2013","Female","Domestic Short Hair","White (Mostly)","Adopted","10/8/2012 6:14 PM","","7/18/2013"
"F12-262","Oliver L","7/13/2012","Male","Domestic Medium Hair","Gray","Adopted","10/8/2012 6:16 PM","","7/18/2013"
"F12-266","Donut","7/11/2012","Male","Domestic Short Hair","Brown (Mostly)","Adopted","10/8/2012 5:52 PM","",""
"F12-268","Pippa","7/11/2012","Female","Domestic Short Hair","Brown Tabby","Pending","10/8/2012 6:27 PM","",""
"F12-269","Coley","4/30/2012","Female","Russian Blue","Blue","Adopted","10/4/2012 7:57 PM","","4/23/2014"
"F12-274","Dustee","7/1/2012","Female","Domestic Short Hair","Brown Tabby","Adopted","3/6/2014 6:05 PM","","12/6/2014"
"F12-275","Kahlua II","7/1/2012","Female","Siamese","Calico or Dilute Calico","Adopted","3/6/2014 6:08 PM","","8/28/2014"
"F12-277","Hyperion","9/15/2010","Male","Maine Coon","Gray and White","Adopted","6/10/2013 12:56 PM","","8/23/2014"
"F12-283","Gemini II","9/1/2011","Female","Domestic Short Hair","Gray","Adopted","9/30/2013 1:18 PM","","1/14/2016"
"F12-296","Binky K","3/19/2012","Male","Domestic Short Hair","Orange","Adopted","10/23/2012 4:43 PM","","11/11/2019"
"F12-298","Mimi K","3/19/2012","Female","Domestic Short Hair","Calico or Dilute Calico","Adopted","10/23/2012 5:03 PM","","11/11/2019"
"F12-311","Rossie","7/15/2012","Female","Domestic Short Hair","Black and White","Adopted","12/10/2012 12:52 PM","","2/21/2016"
"F12-315","Dusk","10/15/2012","Female","Russian Blue","Gray","Adopted","6/25/2016 1:45 AM","","9/6/2016"
"F12-319","Buddy Guy","","Male","Tabby","Brown Tabby","Adopted","6/10/2013 11:43 AM","",""
"F12-325","Barbee G","5/30/2012","Female","Domestic Medium Hair","White","Adopted","12/10/2012 12:33 PM","","2/6/2014"
"F12-334","Adora","9/15/2012","Female","Siamese","","Adopted","3/19/2019 7:23 PM","","8/29/2019"
"F12-339","Cremesicle","12/1/2008","Male","Domestic Short Hair","Orange and White","Adopted","12/14/2009 11:38 AM","","3/25/2016"
"F12-340","Mary Sue (FeLV+)","12/1/2008","Female","Domestic Short Hair","Brown Tabby","Passed Away","12/5/2014 8:31 AM","",""
"F13-016","Chee","","Male","Domestic Medium Hair","Black and White","Adopted","1/14/2013 12:39 PM","",""
"F13-021","Sweet Tea","","Male","Domestic Short Hair","White (Mostly)","Adopted","1/29/2013 4:28 PM","",""
"F13-024","Ty Lee","","Female","Domestic Short Hair","White (Mostly)","Adopted","1/29/2013 4:31 PM","",""
"F13-025","Mai","","Female","Domestic Short Hair","Black","Adopted","1/29/2013 4:06 PM","",""
"F13-037","Fergie","8/15/2011","Female","Himalayan","Cream (Mostly)","Adopted","5/23/2016 11:14 AM","","7/22/2016"
"F13-048","Beacon","2/14/2011","Male","Domestic Short Hair","Brown Tabby","Adopted","2/16/2013 5:53 PM","",""
"F13-055","Dusty L","6/1/2012","Male","Domestic Short Hair","Gray and White","Adopted","3/10/2013 3:52 PM","","7/18/2013"
"F13-056","Ariel L","8/1/2012","Female","Domestic Short Hair","Black and White","Adopted","3/10/2013 3:42 PM","","7/18/2013"
"F13-059","Abigail Leigh","5/1/2012","Female","Domestic Short Hair","Black and White","Adopted","3/10/2013 3:37 PM","","4/19/2014"
"F13-060","Jordan Leigh","5/1/2012","Female","Domestic Short Hair","Black and White","Adopted","3/10/2013 3:57 PM","","5/4/2014"
"F13-063","Angel Boy","1/11/2012","Male","Domestic Short Hair","Gray and White","Adopted","3/10/2013 3:40 PM","","3/13/2016"
"F13-064","Lilly Girl","","Female","Domestic Short Hair","Gray and White","Adopted","3/10/2013 4:03 PM","",""
